druh_duchodu_kod,druh_duchodu,pohlavi_kod,pohlavi,referencni_obdobi,vyse_duchodu_kod,vyse_duchodu,pocet_nove_priznanych_duchodu
PK_D,Sirotčí důchod,T,Celkem,2012,I11600T11799,11600-11799,1.0
PK_D,Sirotčí důchod,T,Celkem,2012,I11800T11999,11800-11999,0.0
PK_D,Sirotčí důchod,T,Celkem,2012,I12000T12199,12000-12199,0.0
PK_D,Sirotčí důchod,T,Celkem,2012,I12200T12399,12200-12399,0.0
PK_D,Sirotčí důchod,T,Celkem,2012,I12400T12599,12400-12599,1.0
PK_D,Sirotčí důchod,T,Celkem,2012,I12600T12799,12600-12799,0.0
PK_D,Sirotčí důchod,T,Celkem,2012,I12800T12999,12800-12999,0.0
PK_D,Sirotčí důchod,T,Celkem,2012,I13000T13499,13000-13499,0.0
PK_D,Sirotčí důchod,T,Celkem,2012,I13500T13999,13500-13999,0.0
PK_D,Sirotčí důchod,T,Celkem,2012,I14000T14499,14000-14499,0.0
PK_D,Sirotčí důchod,T,Celkem,2012,I14500T14999,14500-14999,0.0
PK_D,Sirotčí důchod,T,Celkem,2012,I15000T15499,15000-15499,0.0
PK_D,Sirotčí důchod,T,Celkem,2012,I15500T15999,15500-15999,0.0
PK_D,Sirotčí důchod,T,Celkem,2012,I16000T16499,16000-16499,0.0
PK_D,Sirotčí důchod,T,Celkem,2012,I16500T16999,16500-16999,0.0
PK_D,Sirotčí důchod,T,Celkem,2012,I17000T17499,17000-17499,0.0
PK_D,Sirotčí důchod,T,Celkem,2012,I17500T17999,17500-17999,0.0
PK_D,Sirotčí důchod,T,Celkem,2012,I1T2999,1-2999,457.0
PK_D,Sirotčí důchod,T,Celkem,2012,I3000T3499,3000-3499,204.0
PK_D,Sirotčí důchod,T,Celkem,2012,I3500T3999,3500-3999,164.0
PK_D,Sirotčí důchod,T,Celkem,2012,I4000T4499,4000-4499,162.0
PK_D,Sirotčí důchod,T,Celkem,2012,I4500T4999,4500-4999,622.0
PK_D,Sirotčí důchod,T,Celkem,2012,I5000T5199,5000-5199,384.0
PK_D,Sirotčí důchod,T,Celkem,2012,I5200T5399,5200-5399,255.0
PK_D,Sirotčí důchod,T,Celkem,2012,I5400T5599,5400-5599,278.0
PK_D,Sirotčí důchod,T,Celkem,2012,I5600T5799,5600-5799,331.0
PK_D,Sirotčí důchod,T,Celkem,2012,I5800T5999,5800-5999,360.0
PK_D,Sirotčí důchod,T,Celkem,2012,I6000T6199,6000-6199,358.0
PK_D,Sirotčí důchod,T,Celkem,2012,I6200T6399,6200-6399,384.0
PK_D,Sirotčí důchod,T,Celkem,2012,I6400T6599,6400-6599,348.0
PK_D,Sirotčí důchod,T,Celkem,2012,I6600T6799,6600-6799,305.0
PK_D,Sirotčí důchod,T,Celkem,2012,I6800T6999,6800-6999,201.0
PK_D,Sirotčí důchod,T,Celkem,2012,I7000T7199,7000-7199,180.0
PK_D,Sirotčí důchod,T,Celkem,2012,I7200T7399,7200-7399,121.0
PK_D,Sirotčí důchod,T,Celkem,2012,I7400T7599,7400-7599,101.0
PK_D,Sirotčí důchod,T,Celkem,2012,I7600T7799,7600-7799,43.0
PK_D,Sirotčí důchod,T,Celkem,2012,I7800T7999,7800-7999,29.0
PK_D,Sirotčí důchod,T,Celkem,2012,I8000T8199,8000-8199,36.0
PK_D,Sirotčí důchod,T,Celkem,2012,I8200T8399,8200-8399,32.0
PK_D,Sirotčí důchod,T,Celkem,2012,I8400T8599,8400-8599,8.0
PK_D,Sirotčí důchod,T,Celkem,2012,I8600T8799,8600-8799,15.0
PK_D,Sirotčí důchod,T,Celkem,2012,I8800T8999,8800-8999,9.0
PK_D,Sirotčí důchod,T,Celkem,2012,I9000T9199,9000-9199,6.0
PK_D,Sirotčí důchod,T,Celkem,2012,I9200T9399,9200-9399,1.0
PK_D,Sirotčí důchod,T,Celkem,2012,I9400T9599,9400-9599,2.0
PK_D,Sirotčí důchod,T,Celkem,2012,I9600T9799,9600-9799,3.0
PK_D,Sirotčí důchod,T,Celkem,2012,I9800T9999,9800-9999,7.0
PK_D,Sirotčí důchod,T,Celkem,2012,I_GE18000,18000+,1.0
PK_D,Sirotčí důchod,T,Celkem,2012,I_T,Celkem,5429.0
PK_D,Sirotčí důchod,T,Celkem,2012,I_X,Neudáno,0.0
PK_D,Sirotčí důchod,T,Celkem,2013,I10000T10199,10000-10199,5.0
PK_D,Sirotčí důchod,T,Celkem,2013,I10200T10399,10200-10399,2.0
PK_D,Sirotčí důchod,T,Celkem,2013,I10400T10599,10400-10599,1.0
PK_D,Sirotčí důchod,T,Celkem,2013,I10600T10799,10600-10799,0.0
PK_D,Sirotčí důchod,T,Celkem,2013,I10800T10999,10800-10999,1.0
PK_D,Sirotčí důchod,T,Celkem,2013,I11000T11199,11000-11199,4.0
PK_D,Sirotčí důchod,T,Celkem,2013,I11200T11399,11200-11399,2.0
PK_D,Sirotčí důchod,T,Celkem,2013,I11400T11599,11400-11599,5.0
PK_D,Sirotčí důchod,T,Celkem,2013,I11600T11799,11600-11799,0.0
PK_D,Sirotčí důchod,T,Celkem,2013,I11800T11999,11800-11999,2.0
PK_D,Sirotčí důchod,T,Celkem,2013,I12000T12199,12000-12199,1.0
PK_D,Sirotčí důchod,T,Celkem,2013,I12200T12399,12200-12399,0.0
PK_D,Sirotčí důchod,T,Celkem,2013,I12400T12599,12400-12599,1.0
PK_D,Sirotčí důchod,T,Celkem,2013,I12600T12799,12600-12799,0.0
PK_D,Sirotčí důchod,T,Celkem,2013,I12800T12999,12800-12999,0.0
PK_D,Sirotčí důchod,T,Celkem,2013,I13000T13499,13000-13499,1.0
PK_D,Sirotčí důchod,T,Celkem,2013,I13500T13999,13500-13999,2.0
PK_D,Sirotčí důchod,T,Celkem,2013,I14000T14499,14000-14499,5.0
PK_D,Sirotčí důchod,T,Celkem,2013,I14500T14999,14500-14999,0.0
PK_D,Sirotčí důchod,T,Celkem,2013,I15000T15499,15000-15499,0.0
PK_D,Sirotčí důchod,T,Celkem,2013,I15500T15999,15500-15999,0.0
PK_D,Sirotčí důchod,T,Celkem,2013,I16000T16499,16000-16499,0.0
PK_D,Sirotčí důchod,T,Celkem,2013,I16500T16999,16500-16999,0.0
PK_D,Sirotčí důchod,T,Celkem,2013,I17000T17499,17000-17499,0.0
PK_D,Sirotčí důchod,T,Celkem,2013,I17500T17999,17500-17999,0.0
PK_D,Sirotčí důchod,T,Celkem,2013,I1T2999,1-2999,247.0
PK_D,Sirotčí důchod,T,Celkem,2013,I3000T3499,3000-3499,136.0
PK_D,Sirotčí důchod,T,Celkem,2013,I3500T3999,3500-3999,100.0
PK_D,Sirotčí důchod,T,Celkem,2013,I4000T4499,4000-4499,113.0
PK_D,Sirotčí důchod,T,Celkem,2013,I4500T4999,4500-4999,204.0
PK_D,Sirotčí důchod,T,Celkem,2013,I5000T5199,5000-5199,636.0
PK_D,Sirotčí důchod,T,Celkem,2013,I5200T5399,5200-5399,164.0
PK_D,Sirotčí důchod,T,Celkem,2013,I5400T5599,5400-5599,242.0
PK_D,Sirotčí důchod,T,Celkem,2013,I5600T5799,5600-5799,271.0
PK_D,Sirotčí důchod,T,Celkem,2013,I5800T5999,5800-5999,290.0
PK_D,Sirotčí důchod,T,Celkem,2013,I6000T6199,6000-6199,320.0
PK_D,Sirotčí důchod,T,Celkem,2013,I6200T6399,6200-6399,299.0
PK_D,Sirotčí důchod,T,Celkem,2013,I6400T6599,6400-6599,348.0
PK_D,Sirotčí důchod,T,Celkem,2013,I6600T6799,6600-6799,287.0
PK_D,Sirotčí důchod,T,Celkem,2013,I6800T6999,6800-6999,222.0
PK_D,Sirotčí důchod,T,Celkem,2013,I7000T7199,7000-7199,195.0
PK_D,Sirotčí důchod,T,Celkem,2013,I7200T7399,7200-7399,169.0
PK_D,Sirotčí důchod,T,Celkem,2013,I7400T7599,7400-7599,115.0
PK_D,Sirotčí důchod,T,Celkem,2013,I7600T7799,7600-7799,59.0
PK_D,Sirotčí důchod,T,Celkem,2013,I7800T7999,7800-7999,29.0
PK_D,Sirotčí důchod,T,Celkem,2013,I8000T8199,8000-8199,34.0
PK_D,Sirotčí důchod,T,Celkem,2013,I8200T8399,8200-8399,24.0
PK_D,Sirotčí důchod,T,Celkem,2013,I8400T8599,8400-8599,18.0
PK_D,Sirotčí důchod,T,Celkem,2013,I8600T8799,8600-8799,7.0
PK_D,Sirotčí důchod,T,Celkem,2013,I8800T8999,8800-8999,21.0
PK_D,Sirotčí důchod,T,Celkem,2013,I9000T9199,9000-9199,8.0
PK_D,Sirotčí důchod,T,Celkem,2013,I9200T9399,9200-9399,14.0
PK_D,Sirotčí důchod,T,Celkem,2013,I9400T9599,9400-9599,1.0
PK_D,Sirotčí důchod,T,Celkem,2013,I9600T9799,9600-9799,0.0
PK_D,Sirotčí důchod,T,Celkem,2013,I9800T9999,9800-9999,4.0
PK_D,Sirotčí důchod,T,Celkem,2013,I_GE18000,18000+,0.0
PK_D,Sirotčí důchod,T,Celkem,2013,I_T,Celkem,4609.0
PK_D,Sirotčí důchod,T,Celkem,2013,I_X,Neudáno,0.0
PK_D,Sirotčí důchod,T,Celkem,2014,I10000T10199,10000-10199,5.0
PK_D,Sirotčí důchod,T,Celkem,2014,I10200T10399,10200-10399,2.0
PK_D,Sirotčí důchod,T,Celkem,2014,I10400T10599,10400-10599,0.0
PK_D,Sirotčí důchod,T,Celkem,2014,I10600T10799,10600-10799,3.0
PK_D,Sirotčí důchod,T,Celkem,2014,I10800T10999,10800-10999,1.0
PK_D,Sirotčí důchod,T,Celkem,2014,I11000T11199,11000-11199,3.0
PK_D,Sirotčí důchod,T,Celkem,2014,I11200T11399,11200-11399,3.0
PK_D,Sirotčí důchod,T,Celkem,2014,I11400T11599,11400-11599,0.0
PK_D,Sirotčí důchod,T,Celkem,2014,I11600T11799,11600-11799,0.0
PK_D,Sirotčí důchod,T,Celkem,2014,I11800T11999,11800-11999,4.0
PK_D,Sirotčí důchod,T,Celkem,2014,I12000T12199,12000-12199,0.0
PK_D,Sirotčí důchod,T,Celkem,2014,I12200T12399,12200-12399,0.0
PK_D,Sirotčí důchod,T,Celkem,2014,I12400T12599,12400-12599,2.0
PK_D,Sirotčí důchod,T,Celkem,2014,I12600T12799,12600-12799,4.0
PK_D,Sirotčí důchod,T,Celkem,2014,I12800T12999,12800-12999,0.0
PK_D,Sirotčí důchod,T,Celkem,2014,I13000T13499,13000-13499,0.0
PK_D,Sirotčí důchod,T,Celkem,2014,I13500T13999,13500-13999,0.0
